MSA,Population
"Jonesboro, AR","132,532"
"Joplin, MO","178,902"
"Kahului-Wailuku-Lahaina, HI","167,295"
"Kalamazoo-Portage, MI","340,318"
"Kankakee, IL","110,024"
"Kansas City, MO-KS","2,142,419"
"Kennewick-Richland, WA","296,224"
"Killeen-Temple, TX","451,681"
"Kingsport-Bristol, TN-VA","306,562"
"Kingston, NY","178,599"
"Knoxville, TN","882,598"
"Kokomo, IN","82,366"
"La Crosse-Onalaska, WI-MN","136,808"
"Lafayette, LA","489,364"
"Lafayette-West Lafayette, IN","222,676"
"Lake Charles, LA","209,548"
"Lake Havasu City-Kingman, AZ","209,550"
"Lakeland-Winter Haven, FL","708,009"
"Lancaster, PA","543,557"
"Lansing-East Lansing, MI","481,893"
"Laredo, TX","275,910"
"Las Cruces, NM","217,522"
"Las Vegas-Henderson-Paradise, NV","2,231,647"
"Lawrence, KS","121,436"
"Lawton, OK","125,696"
"Lebanon, PA","141,314"
"Lewiston, ID-WA","63,018"
"Lewiston-Auburn, ME","107,679"
"Lexington-Fayette, KY","516,697"
"Lima, OH","102,663"
"Lincoln, NE","333,964"
"Little Rock-North Little Rock-Conway, AR","741,357"
"Logan, UT-ID","141,476"
"Longview, TX","219,417"
"Longview, WA","108,987"
"Los Angeles-Long Beach-Anaheim, CA","13,291,486"
"Louisville/Jefferson County, KY-IN","1,296,815"
"Lubbock, TX","319,995"
"Lynchburg, VA","265,405"
"Macon-Bibb County, GA","226,680"
"Madera, CA","157,672"
"Madison, WI","660,422"
"Manchester-Nashua, NH","415,247"
"Manhattan, KS","97,980"
"Mankato, MN","101,647"
"Mansfield, OH","121,099"
"McAllen-Edinburg-Mission, TX","865,939"
"Medford, OR","219,564"
"Memphis, TN-MS-AR","1,350,064"
"Merced, CA","274,765"
"Miami-Fort Lauderdale-Pompano Beach, FL","6,198,782"
"Michigan City-La Porte, IN","110,007"
"Midland, MI","83,209"
"Midland, TX","177,218"
"Milwaukee-Waukesha, WI","1,576,113"
"Minneapolis-St. Paul-Bloomington, MN-WI","3,629,190"
"Missoula, MT","118,791"
"Mobile, AL","413,757"
"Modesto, CA","549,815"
"Monroe, LA","176,805"
"Monroe, MI","150,439"
"Montgomery, AL","373,401"
"Morgantown, WV","140,259"
"Morristown, TN","118,581"
"Mount Vernon-Anacortes, WA","128,206"
"Muncie, IN","114,772"
"Muskegon, MI","173,588"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","480,891"
"Napa, CA","139,417"
"Naples-Marco Island, FL","378,488"
"Nashville-Davidson--Murfreesboro--Franklin, TN","1,932,099"
"New Bern, NC","123,433"
"New Haven-Milford, CT","857,620"
"New Orleans-Metairie, LA","1,270,399"
"New York-Newark-Jersey City, NY-NJ-PA","19,979,477"
"Niles, MI","154,141"
"North Port-Sarasota-Bradenton, FL","821,573"
"Norwich-New London, CT","266,784"
"Ocala, FL","359,977"
"Ocean City, NJ","92,560"
"Odessa, TX","162,124"
"Ogden-Clearfield, UT","676,948"
"Oklahoma City, OK","1,396,445"
"Olympia-Lacey-Tumwater, WA","286,419"
"Omaha-Council Bluffs, NE-IA","941,924"
"Orlando-Kissimmee-Sanford, FL","2,572,962"
"Oshkosh-Neenah, WI","171,020"
"Owensboro, KY","119,691"
"Oxnard-Thousand Oaks-Ventura, CA","850,967"
"Palm Bay-Melbourne-Titusville, FL","596,849"
"Panama City, FL","202,977"
"Parkersburg-Vienna, WV","92,499"
"Pensacola-Ferry Pass-Brent, FL","494,883"
"Peoria, IL","368,683"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6,096,372"
"Phoenix-Mesa-Chandler, AZ","4,857,962"
"Pine Bluff, AR","90,306"
"Pittsburgh, PA","2,324,743"
"Pittsfield, MA","126,348"
"Pocatello, ID","87,138"
"Port St. Lucie, FL","482,040"
"Portland-South Portland, ME","535,420"
"Portland-Vancouver-Hillsboro, OR-WA","2,478,996"
"Poughkeepsie-Newburgh-Middletown, NY","672,121"
"Prescott Valley-Prescott, AZ","231,993"
"Providence-Warwick, RI-MA","1,621,337"
"Provo-Orem, UT","632,705"
"Pueblo, CO","167,529"
"Punta Gorda, FL","184,998"
"Racine, WI","196,584"
"Raleigh-Cary, NC","1,362,540"
"Rapid City, SD","147,316"
"Reading, PA","420,152"
"Redding, CA","180,040"
"Reno, NV","471,265"
"Richmond, VA","1,303,621"
"Riverside-San Bernardino-Ontario, CA","4,622,361"
"Roanoke, VA","314,515"
"Rochester, MN","219,802"
"Rochester, NY","1,071,082"
"Rockford, IL","337,658"
"Rocky Mount, NC","146,021"
"Rome, GA","97,927"
"Sacramento-Roseville-Folsom, CA","2,345,210"
"Saginaw, MI","190,800"
"Salem, OR","432,102"
"Salinas, CA","435,594"
"Salisbury, MD-DE","409,979"
"Salt Lake City, UT","1,222,540"
"San Angelo, TX","119,310"
"San Antonio-New Braunfels, TX","2,518,036"
"San Diego-Chula Vista-Carlsbad, CA","3,343,364"
"San Francisco-Oakland-Berkeley, CA","4,729,484"
"San Jose-Sunnyvale-Santa Clara, CA","1,999,107"
"San Luis Obispo-Paso Robles, CA","284,010"
"Santa Cruz-Watsonville, CA","274,255"
