category,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020
MSA_cumulative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,12,12,15,19,22,26,30,36,42,49,59,67,89,115,160,206,269,348,440,555,742,996,1278,1693,2208,2513,3051,3833,4797,5847,7003,8792,9723,11835,14030,16085,18075,20271,22262,23890,25618,28219,30723,32943,34481,35775,38476,40202,42782,44952,47053,49040,51023,52186,53696,55973,58432,60545,62180,63712,65154,66104,68171,70741,72558,74023,75394,76271,77259,78767,80414,82038
MSA_daily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,0,3,4,3,4,4,6,6,7,10,8,22,26,45,46,63,79,92,115,187,254,282,415,515,305,538,782,964,1050,1156,1789,931,2112,2195,2055,1990,2196,1991,1628,1728,2601,2504,2220,1538,1294,2701,1726,2580,2170,2101,1987,1983,1163,1510,2277,2459,2113,1635,1532,1442,950,2067,2570,1817,1465,1371,877,988,1508,1647,1624
USA_cumulative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,12,12,15,19,22,26,31,37,43,50,60,68,91,117,162,212,275,358,455,574,784,1049,1349,1761,2291,2628,3191,4010,5025,6092,7917,9470,10832,13080,14582,16653,18779,21032,23109,24787,26549,29247,31995,34352,36618,38571,40089,41919,44587,46897,49067,51158,53161,54407,55997,58375,60889,63100,64860,66445,67773,68833,71067,74013,75734,77307,78762,79693,80682,82337,84105,85843
USA_daily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,2,0,3,4,3,4,5,6,6,7,10,8,23,26,45,50,63,83,97,119,210,265,300,412,530,337,563,819,1015,1067,1825,1553,1362,2248,1502,2071,2126,2253,2077,1678,1762,2698,2748,2357,2266,1953,1518,1830,2668,2310,2170,2091,2003,1246,1590,2378,2514,2211,1760,1585,1328,1060,2234,2946,1721,1573,1455,931,989,1655,1768,1738
non_MSA_cumulative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,6,6,10,15,19,42,53,71,68,83,115,140,177,228,245,914,678,1109,1245,552,568,704,761,847,897,931,1028,1272,1409,2137,2796,1613,1717,1805,1945,2014,2118,2138,2221,2301,2402,2457,2555,2680,2733,2619,2729,2896,3272,3176,3284,3368,3422,3423,3570,3691,3805
non_MSA_daily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,4,5,4,23,11,18,-3,15,32,25,37,51,17,669,-236,431,136,-693,16,136,57,86,50,34,97,244,137,728,659,-1183,104,88,140,69,104,20,83,80,101,55,98,125,53,-114,110,167,376,-96,108,84,54,1,147,121,114
